id	title	problem_text	skill_description
0	001-two-sum	"Given an array of integers, 
return indices of the two numbers such that they add up to a specific target.

You may assume that each input would have exactly one solution, and 
you may not use the same element twice.

Example:
Given nums = [2, 7, 11, 15], target = 9,
Because nums[0] + nums[1] = 2 + 7 = 9,
return [0, 1]."	This Python script solves the Two Sum problem, a common task from LeetCode, where given an array of integers, you should return indices of two numbers, such that their sum equals a specific target. The given solution implements two methods, both fulfilling the task with different time and space complexities. The more efficient one is O(N) in time and space complexity, achieved by constructing a dictionary for efficient lookups of the complementary number. The less efficient one has O(N^2) time complexity with O(1) space complexity.
1	011-container-with-most-water	"Given n non-negative integers a1, a2, ..., an , where each represents a point at coordinate (i, ai). n vertical lines are drawn such that 
the two endpoints of line i is at (i, ai) and (i, 0). Find two lines, which together with x-axis forms a container, such that the container 
contains the most water.
Note: You may not slant the container and n is at least 2.

Example:

Input: [1,8,6,2,5,4,8,3,7]
Output: 49"	"This Python file solves the 'Container With Most Water' problem from LeetCode. It finds the max possible area between two container lines on a 2D grid.

It does this by initializing two pointers at both ends of the array (which represents the vertical lines), then moves them inward. At each step, it calculates the area between the two lines and updates the maximum area found so far. The lower line's pointer is advanced to search for a potentially larger area. It ensures every possible area is computed and the largest area is found."
2	013-roman-to-integer	"description/

Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M.
Symbol       Value
I             1
V             5
X             10
L             50
C             100
D             500
M             1000
For example, two is written as II in Roman numeral, just two one's added together. Twelve is written as, XII, which is simply X + II. 
The number twenty seven is written as XXVII, which is XX + V + II.

Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, 
the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to 
the number nine, which is written as IX. There are six instances where subtraction is used:

I can be placed before V (5) and X (10) to make 4 and 9. 
X can be placed before L (50) and C (100) to make 40 and 90. 
C can be placed before D (500) and M (1000) to make 400 and 900.
Given a roman numeral, convert it to an integer. Input is guaranteed to be within the range from 1 to 3999.

Example 1:
Input: ""III""
Output: 3

Example 2:
Input: ""IV""
Output: 4

Example 3:
Input: ""IX""
Output: 9

Example 4:
Input: ""LVIII""
Output: 58
Explanation: L = 50, V= 5, III = 3.

Example 5:
Input: ""MCMXCIV""
Output: 1994
Explanation: M = 1000, CM = 900, XC = 90 and IV = 4."	This script solves the problem of converting a roman numeral into an integer. It implements this by mapping each Roman numeral symbol to its corresponding integer value and iterating through the string from the end to the start. While iterating, it checks if the current value is less than the previous one, then subtracts it from the cumulative sum; otherwise, it adds it. This approach takes care of the rule where a smaller numeral appears before a larger one, representing a subtraction operation.
3	015-3sum	"Given an array nums of n integers, are there elements a, b, c in nums such that a + b + c = 0?
Find all unique triplets in the array which gives the sum of zero.

Note:
The solution set must not contain duplicate triplets.

Example:
Given array nums = [-1, 0, 1, 2, -1, -4],

A solution set is:
[
  [-1, 0, 1],
  [-1, -1, 2]
]"	The python file solves the problem of finding unique triplets in an array that sum up to zero. It uses a two-pointer approach on a sorted version of the list. The function threeSum iterates over the list and for each element, it uses two pointers - 'start' and 'end'. It calculates the sum of the numbers at the current element, start pointer and end pointer. Depending on the sum, it either increases the start pointer or decreases the end pointer. Any triplet that sums to zero is added to the result.
4	019-remove-nth-node-from-end-of-list	"Given a linked list, remove the n-th node from the end of list and return its head.

Example:
Given linked list: 1->2->3->4->5, and n = 2.
After removing the second node from the end, the linked list becomes 1->2->3->5.

Note:
Given n will always be valid.

Follow up:
Could you do this in one pass?"	"This Python script is designed to remove the n-th node from the end of a linked list. It provides a solution to the problem posted on LeetCode, https://leetcode.com/problems/remove-nth-node-from-end-of-list/.

The script defines a class, `ListNode`, for the linked list nodes and a function, `removeNthFromEnd`, for implementing the task. The `removeNthFromEnd` function employs a two-pointer approach to locate the n-th node from the end. 'p1' moves 'n' steps first and then both pointers move forward until 'p1' reaches the end. The n-th node is removed by modifying `p2.next` to point to `p2.next.next`, thus bypassing the n-th node."
5	020-valid-parentheses	"Given a string containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.
An input string is valid if:
Open brackets must be closed by the same type of brackets.
Open brackets must be closed in the correct order.
Note that an empty string is also considered valid.

Example 1:
Input: ""()""
Output: true

Example 2:
Input: ""()[]{}""
Output: true

Example 3:
Input: ""(]""
Output: false

Example 4:
Input: ""([)]""
Output: false

Example 5:
Input: ""{[]}""
Output: true"	"The Python file solves the problem of validating parentheses in a given string. It checks if the input string contains balanced parentheses, i.e., each opening bracket has a corresponding closing bracket of the same type, and they appear in the correct order.

The solution uses a stack data structure to match the brackets. It iterates through the input string, pushes any opening bracket onto the stack, and when a closing bracket is encountered, it checks if the topmost stack element (using ""pop"") matches the closing bracket. If it doesn't, it returns 'False'. At the end, if the stack is empty, it returns 'True' indicating balanced parentheses."
6	021-merge-two-sorted-lists	"description/

Merge two sorted linked lists and return it as a new list. The new list should be made by splicing together the nodes of the first two lists.

Example:
Input: 1->2->4, 1->3->4
Output: 1->1->2->3->4->4"	"This Python script is a solution to merge two sorted linked lists into one. The problem it solves is amalgamating two sorted lists while maintaining sort order. 

It does this by initializing a method called mergeTwoLists with linked lists l1 and l2 as inputs. It conducts checks to see which list node has a smaller value. The node with the smaller value is then linked to the result of sequentially comparing and linking the next nodes. The process stops when either list runs out of nodes, returning the remaining nodes of the other list."
7	026-remove-duplicates-from-sorted-array	"description/

Given a sorted array nums, remove the duplicates in-place such that each element appear only once and return the new length.
Do not allocate extra space for another array, you must do this by modifying the input array in-place with O(1) extra memory.

Example 1:
Given nums = [1,1,2],

Your function should return length = 2, with the first two elements of nums being 1 and 2 respectively.
It doesn't matter what you leave beyond the returned length.

Example 2:

Given nums = [0,0,1,1,1,2,2,3,3,4],
Your function should return length = 5, with the first five elements of nums being modified to 0, 1, 2, 3, and 4 respectively.
It doesn't matter what values are set beyond the returned length.

Clarification:
Confused why the returned value is an integer but your answer is an array?
Note that the input array is passed in by reference, which means modification to the input array will be known to the caller as well.
Internally you can think of this:

// nums is passed in by reference. (i.e., without making a copy)
int len = removeDuplicates(nums);

// any modification to nums in your function would be known by the caller.
// using the length returned by your function, it prints the first len elements.
for (int i = 0; i < len; i++) {
    print(nums[i]);
}"	This Python file solves the problem of removing duplicates from a sorted array in-place without allocating extra space. It implements a solution to a problem from LeetCode, where the function `removeDuplicates` manipulates the given array by comparing each element with its preceding one. If they are different, it replaces the next element of the preceding one with the current element. The function returns the count of unique elements found giving a new length of the array.
8	028-implement-strstr	"description/

Implement strStr().
Return the index of the first occurrence of needle in haystack, or -1 if needle is not part of haystack.

Example 1:
Input: haystack = ""hello"", needle = ""ll""
Output: 2

Example 2:
Input: haystack = ""aaaaa"", needle = ""bba""
Output: -1

Clarification:
What should we return when needle is an empty string? This is a great question to ask during an interview.
For the purpose of this problem, we will return 0 when needle is an empty string. This is consistent to C's strstr() and Java's indexOf()."	This Python file solves the problem of determining the index of the first occurrence of a 'needle' string in a 'haystack' string. It implements the strStr() function, much like C's strstr() and Java's indexOf(). The function iterates through all possible substrings in the 'haystack', with the same length as the 'needle'. When it comes across an identical match to the 'needle', it returns the starting index. For empty 'needle', the function returns 0.
9	033-search-in-rotated-sorted-array	"Suppose an array sorted in ascending order is rotated at some pivot unknown to you beforehand.
(i.e., [0,1,2,4,5,6,7] might become [4,5,6,7,0,1,2]).
You are given a target value to search. If found in the array return its index, otherwise return -1.
You may assume no duplicate exists in the array.
Your algorithm's runtime complexity must be in the order of O(log n).

Example 1:
Input: nums = [4,5,6,7,0,1,2], target = 0
Output: 4

Example 2:
Input: nums = [4,5,6,7,0,1,2], target = 3
Output: -1"	"The Python script solves the problem of finding a target value in a rotated sorted array. It employs a Binary Search approach to decrease the runtime complexity to O(log n). 

It first finds the middle index of the array. If the mid-value matches the target, it immediately returns the mid-index. If not, it adapts the binary search method according to the sorted part of the array. By iteratively shortening the search interval (either from the start to middle or from middle to end), it finds the index of the target value or returns -1 if the target is not present."
10	034-find-first-and-last-position-of-element-in-sorted-array	"Given an array of integers nums sorted in ascending order, find the starting and ending position of a given target value.
Your algorithm's runtime complexity must be in the order of O(log n).
If the target is not found in the array, return [-1, -1].

Example 1:
Input: nums = [5,7,7,8,8,10], target = 8
Output: [3,4]

Example 2:
Input: nums = [5,7,7,8,8,10], target = 6
Output: [-1,-1]"	"This Python script solves the 'Find First and Last Position of Element in Sorted Array' problem from LeetCode. It finds the starting and ending position of a given target in a sorted integer array, returning -1,-1 if the target isn't present.

It uses a binary search mechanism to solve the problem in O(log n) time complexity, ensuring performance efficiency. There are two calls to binary search - one to find the start position (where 'flag' is True) and the other to find the end position (where 'flag' is False). Binary search iteratively divides an array into halves until the target is found or the subarray size becomes zero."
11	035-search-insert-position	"Given a sorted array and a target value, return the index if the target is found. 
If not, return the index where it would be if it were inserted in order.
You may assume no duplicates in the array.

Sample Test Cases:
Input: [1,3,5,6], 5
Output: 2
Input: [1,3,5,6], 2
Output: 1
Input: [1,3,5,6], 7
Output: 4
Input: [1,3,5,6], 0
Output: 0"	"This Python file provides a solution for finding the position of a target number within a sorted list. If the target is not found, it returns the position where it could be inserted while maintaining the sorted order.

It accomplishes this by performing a binary search across the array. It compares the targeted value with the middle index repeatedly, halving the search space with each iteration until the target is found or the search space is exhausted. In the case that the target is not found, it returns the index where the target should be inserted."
12	048-rotate-image	"You are given an n x n 2D matrix representing an image.
Rotate the image by 90 degrees (clockwise).

Note:
You have to rotate the image in-place, which means you have to modify the input 2D matrix directly. 
DO NOT allocate another 2D matrix and do the rotation.

Example 1:
Given input matrix = 
[
  [1,2,3],
  [4,5,6],
  [7,8,9]
],
rotate the input matrix in-place such that it becomes:
[
  [7,4,1],
  [8,5,2],
  [9,6,3]
]

Example 2:
Given input matrix =
[
  [ 5, 1, 9,11],
  [ 2, 4, 8,10],
  [13, 3, 6, 7],
  [15,14,12,16]
],
rotate the input matrix in-place such that it becomes:
[
  [15,13, 2, 5],
  [14, 3, 4, 1],
  [12, 6, 8, 9],
  [16, 7,10,11]
]"	The script solves the problem of rotating a 2D matrix image by 90 degrees clockwise in-place. It does so by iterating through the matrix layer by layer, exchanging the top row elements with the corresponding right column, right column with the bottom row, bottom row with the left column, and left column with the top row. Standard 2D matrix rotation logic is applied to implement this solution.
13	049-group-anagrams	"Given an array of strings, group anagrams together.

Example:

Input: [""eat"", ""tea"", ""tan"", ""ate"", ""nat"", ""bat""],
Output:
[
  [""ate"",""eat"",""tea""],
  [""nat"",""tan""],
  [""bat""]
]

Note:
All inputs will be in lowercase.
The order of your output does not matter."	This Python script solves the problem of grouping anagrams from a list of strings. It uses a dictionary with default values as lists. For every string in the list, it creates count of each character by treating each character as an 'a' indexed array. Later, this count array is appended to the dictionary. By doing this, all anagram strings end up in the same bucket (i.e., the same key-value pair in the dictionary). The final answer is the group of these values.
14	054-spiral-matrix	"Given a matrix of m x n elements (m rows, n columns), return all elements of the matrix in spiral order.

Example 1:
Input:
[
 [ 1, 2, 3 ],
 [ 4, 5, 6 ],
 [ 7, 8, 9 ]
]
Output: [1,2,3,6,9,8,7,4,5]

Example 2:
Input:
[
  [1, 2, 3, 4],
  [5, 6, 7, 8],
  [9,10,11,12]
]
Output: [1,2,3,4,8,12,11,10,9,5,6,7]"	This Python file solves the problem of retrieving all elements from a m x n matrix in spiral order (clockwise direction). The function `spiralOrder` takes a matrix as input and returns a list of its elements in spiral order. It maintains four counters to track the current top, bottom, left, and right boundaries of the matrix. It goes through the matrix's elements in a clockwise spiral direction based on these boundaries and appends the elements to the result list. For each full loop, the respective boundary counters are updated. This is repeated until all elements have been visited.
15	061-rotate-list	"Given a linked list, rotate the list to the right by k places, where k is non-negative.

Example 1:
Input: 1->2->3->4->5->NULL, k = 2
Output: 4->5->1->2->3->NULL

Explanation:
rotate 1 steps to the right: 5->1->2->3->4->NULL
rotate 2 steps to the right: 4->5->1->2->3->NULL

Example 2:
Input: 0->1->2->NULL, k = 4
Output: 2->0->1->NULL

Explanation:
rotate 1 steps to the right: 2->0->1->NULL
rotate 2 steps to the right: 1->2->0->NULL
rotate 3 steps to the right: 0->1->2->NULL
rotate 4 steps to the right: 2->0->1->NULL"	"This Python file solves the problem of rotating a linked list to the right by 'k' steps.
Firstly, it calculates the length of the list. It determines the actual number of rotations required by calculating the modulus of 'k' and list length.
If the list has only one node or the number of rotations is a multiple of the list length, it returns the original list as no rotation is needed.
Otherwise, it breaks the list from the (length - k)th node, makes the section a separate list, then appends the original section to the end of new list section, thereby achieving rotation."
16	066-plus-one	"description

Given a non-empty array of digits representing a non-negative integer, plus one to the integer.
The digits are stored such that the most significant digit is at the head of the list, and each element in the array contain a single digit.
You may assume the integer does not contain any leading zero, except the number 0 itself.

Example 1:
Input: [1,2,3]
Output: [1,2,4]
Explanation: The array represents the integer 123.

Example 2:
Input: [4,3,2,1]
Output: [4,3,2,2]
Explanation: The array represents the integer 4321."	This python file solves the problem of adding one to an integer that is represented as an array of digits. It does this by iterating through the array in reverse order, incrementing each digit by one. If the result exceeds 9, the digit is reset to 0. If it doesn't exceed 9, the array is returned immediately. If none of the digits are less than 9 after the increment, a 1 is inserted at the start of the array.
17	073-set-matrix-zeroes	"Given a m x n matrix, if an element is 0, set its entire row and column to 0. Do it in-place.

Example 1:
Input: 
[
  [1,1,1],
  [1,0,1],
  [1,1,1]
]
Output: 
[
  [1,0,1],
  [0,0,0],
  [1,0,1]
]

Example 2:
Input: 
[
  [0,1,2,0],
  [3,4,5,2],
  [1,3,1,5]
]
Output: 
[
  [0,0,0,0],
  [0,4,5,0],
  [0,3,1,0]
]

Follow up:
A straight forward solution using O(mn) space is probably a bad idea.
A simple improvement uses O(m + n) space, but still not the best solution.
Could you devise a constant space solution?"	This Python script solves the problem of setting an entire row and column of a matrix to zero if an element is zero. It solves the problem by checking each cell in the matrix; if a zero is found, it sets the first element of the corresponding row and column to zero. After the first scan, it sets zero for each cell by checking the first element of its row and column. The flag 'is_col' is used to update the first column if necessary.
18	075-sort-colors	"Given an array with n objects colored red, white or blue, sort them in-place so that objects of the same color 
are adjacent, with the colors in the order red, white and blue.
Here, we will use the integers 0, 1, and 2 to represent the color red, white, and blue respectively.
Note: You are not suppose to use the library's sort function for this problem.

Example:
Input: [2,0,2,1,1,0]
Output: [0,0,1,1,2,2]

Follow up:
A rather straight forward solution is a two-pass algorithm using counting sort.
First, iterate the array counting number of 0's, 1's, and 2's, then overwrite array with total number of 0's, then 1's 
and followed by 2's. Could you come up with a one-pass algorithm using only constant space?"	"This Python file solves the problem of sorting an array containing 0s, 1s, and 2s representing different colors. It implements a solution for the challenge of arranging these elements in-place using a one-pass algorithm that requires constant space.

The file uses the Dutch National Flag problem solution. It keeps two pointers 'start' and 'end' at the extremes of the array and a third pointer 'index' that traverses the array. Objects are then sorted based on these pointers so that the same color objects are adjacent, and colors are sorted in the order red, white, and blue."
